# Time-averaged data for fix myAT
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 500
352 2.812 1.00196 0.97958
353 2.82 1.00769 0.98712
354 2.828 1.01493 0.994757
355 2.836 1.00058 1.00233
356 2.844 1.01546 1.01006
357 2.852 1.0183 1.01785
358 2.86 1.01643 1.02567
359 2.868 1.02816 1.03363
360 2.876 1.00618 1.04146
361 2.884 1.0311 1.04953
362 2.892 1.02405 1.05759
363 2.9 1.00071 1.06551
364 2.908 1.01532 1.07359
365 2.916 1.01343 1.08169
366 2.924 1.00888 1.08981
367 2.932 0.993988 1.09785
368 2.94 0.993504 1.10593
369 2.948 0.998229 1.11409
370 2.956 1.01959 1.12248
371 2.964 1.0078 1.13081
372 2.972 1.01811 1.13927
373 2.98 1.01058 1.14771
374 2.988 1.01215 1.15621
375 2.996 0.989864 1.16457
376 3.004 0.991195 1.17299
377 3.012 1.02108 1.18171
378 3.02 0.99548 1.19025
379 3.028 1.02438 1.19909
380 3.036 1.01653 1.2079
381 3.044 1.00095 1.21663
382 3.052 1.0126 1.2255
383 3.06 1.01684 1.23446
384 3.068 0.994685 1.24327
385 3.076 0.994759 1.25213
386 3.084 1.01076 1.26117
387 3.092 1.01636 1.27032
388 3.1 0.986494 1.27924
389 3.108 1.01487 1.28846
390 3.116 1.0155 1.29774
391 3.124 1.0135 1.30704
392 3.132 1.02263 1.31648
393 3.14 1.00694 1.32582
394 3.148 1.00826 1.33523
395 3.156 1.01781 1.34476
396 3.164 1.02074 1.35438
397 3.172 0.994892 1.3638
398 3.18 1.01063 1.37341
399 3.188 1.02718 1.38324
400 3.196 1.02024 1.39304
401 3.204 1.00576 1.40276
402 3.212 1.03166 1.41277
403 3.22 1.01219 1.42265
404 3.228 1.02323 1.43268
405 3.236 1.0221 1.44275
406 3.244 1.01006 1.45275
407 3.252 1.02373 1.46294
408 3.26 1.00991 1.47303
409 3.268 0.985996 1.48294
410 3.276 1.00337 1.49307
411 3.284 1.00217 1.50324
412 3.292 1.01365 1.51358
413 3.3 0.989738 1.52372
414 3.308 1.00568 1.53408
415 3.316 1.01385 1.54457
416 3.324 1.00217 1.55498
417 3.332 0.999793 1.56543
418 3.34 1.0025 1.57595
419 3.348 0.984823 1.58634
420 3.356 1.00542 1.59699
421 3.364 0.99664 1.6076
422 3.372 1.01223 1.61843
423 3.38 1.01141 1.62931
424 3.388 0.996767 1.64007
425 3.396 1.01235 1.65106
426 3.404 0.987786 1.66183
427 3.412 0.98535 1.67262
428 3.42 0.997707 1.6836
429 3.428 1.01344 1.6948
430 3.436 1.00272 1.70594
431 3.444 1.01133 1.71723
432 3.452 1.01093 1.72856
433 3.46 0.996434 1.73979
434 3.468 0.99196 1.75101
435 3.476 1.0152 1.76255
436 3.484 1.0012 1.77399
437 3.492 0.997198 1.78543
438 3.5 0.995305 1.7969
439 3.508 0.978795 1.80824
440 3.516 0.98856 1.81973
441 3.524 1.015 1.83159
442 3.532 1.00461 1.84339
443 3.54 1.00607 1.85525
444 3.548 1.01798 1.86731
445 3.556 0.998832 1.87919
446 3.564 0.978399 1.89088
447 3.572 1.00423 1.90294
448 3.58 0.985484 1.91482
449 3.588 0.992873 1.92685
450 3.596 1.01629 1.93922
451 3.604 1.00306 1.95147
452 3.612 0.980917 1.96352
453 3.62 1.002 1.97587
454 3.628 1.0133 1.98842
455 3.636 0.985911 2.00068
456 3.644 0.992578 2.01309
457 3.652 0.983134 2.02542
458 3.66 0.997883 2.038
459 3.668 0.993219 2.05057
460 3.676 0.991942 2.06319
461 3.684 0.987743 2.0758
462 3.692 0.997709 2.08859
463 3.7 1.00044 2.10148
464 3.708 1.0187 2.11466
465 3.716 0.993586 2.12757
466 3.724 1.01201 2.14077
467 3.732 0.995056 2.15381
468 3.74 1.0057 2.16705
469 3.748 0.972758 2.17991
470 3.756 0.995137 2.19312
471 3.764 0.988311 2.20629
472 3.772 1.00593 2.21976
473 3.78 1.00813 2.23331
474 3.788 1.00407 2.24687
475 3.796 1.01597 2.26064
476 3.804 0.992216 2.27415
477 3.812 0.993906 2.28774
478 3.82 1.01296 2.30165
