# Time-averaged data for fix myAT
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 500
322 2.572 1.15945 74.2757
323 2.58 1.01951 74.9552
324 2.588 0.8875 75.5505
325 2.596 0.760563 76.0637
326 2.604 0.647583 76.5035
327 2.612 0.553523 76.8816
328 2.62 0.472349 77.2063
329 2.628 0.406308 77.4873
330 2.636 0.361031 77.7385
331 2.644 0.329253 77.969
332 2.652 0.314651 78.1906
333 2.66 0.311843 78.4116
334 2.668 0.323141 78.6419
335 2.676 0.339354 78.8853
336 2.684 0.36599 79.1493
337 2.692 0.396679 79.4371
338 2.7 0.433197 79.7534
339 2.708 0.467209 80.0965
340 2.716 0.494121 80.4615
341 2.724 0.518454 80.8467
342 2.732 0.538226 81.249
343 2.74 0.550089 81.6625
344 2.748 0.555292 82.0824
345 2.756 0.552012 82.5023
346 2.764 0.540439 82.9158
347 2.772 0.521688 83.3172
348 2.78 0.504 83.7072
349 2.788 0.48111 84.0817
350 2.796 0.459503 84.4414
351 2.804 0.441977 84.7894
352 2.812 0.433459 85.1326
353 2.82 0.434523 85.4787
354 2.828 0.451801 85.8405
355 2.836 0.486806 86.2326
356 2.844 0.542686 86.6721
357 2.852 0.621036 87.178
358 2.86 0.723725 87.7708
359 2.868 0.852356 88.4728
360 2.876 1.00369 89.3042
361 2.884 1.17246 90.2807
362 2.892 1.36636 91.4251
363 2.9 1.56546 92.7434
364 2.908 1.77877 94.2497
365 2.916 1.9881 95.9426
366 2.924 2.18336 97.8119
367 2.932 2.36327 99.8463
368 2.94 2.52167 102.029
369 2.948 2.64112 104.327
370 2.956 2.72782 106.714
371 2.964 2.76935 109.151
372 2.972 2.76678 111.598
373 2.98 2.71935 114.016
374 2.988 2.62981 116.367
375 2.996 2.50596 118.62
376 3.004 2.34859 120.742
377 3.012 2.16903 122.713
378 3.02 1.96828 124.51
379 3.028 1.7671 126.133
380 3.036 1.55993 127.572
381 3.044 1.36564 128.84
382 3.052 1.17576 129.936
383 3.06 1.01017 130.883
384 3.068 0.85836 131.693
385 3.076 0.729275 132.383
386 3.084 0.619612 132.974
387 3.092 0.534531 133.485
388 3.1 0.467677 133.935
389 3.108 0.415463 134.337
390 3.116 0.375846 134.703
391 3.124 0.355518 135.05
392 3.132 0.33902 135.383
393 3.14 0.329856 135.709
394 3.148 0.325014 136.031
395 3.156 0.324969 136.356
396 3.164 0.325414 136.682
397 3.172 0.325133 137.009
398 3.18 0.326273 137.34
399 3.188 0.324883 137.67
400 3.196 0.325847 138.004
401 3.204 0.327921 138.341
402 3.212 0.331716 138.683
403 3.22 0.343042 139.04
404 3.228 0.357696 139.413
405 3.236 0.379976 139.811
406 3.244 0.413903 140.248
407 3.252 0.460402 140.735
408 3.26 0.518497 141.287
409 3.268 0.588463 141.916
410 3.276 0.6702 142.636
